1	у	у	ADP	_	_	_	_	_	@ns1982m-words#@ns1982m#1.241#1.491
2	меня	я	PRON	_	Case=Gen|Number=Sing|Person=1	_	_	_	@ns1982m-words#@ns1982m#1.491#1.741
3	никак	никак	ADV	_	Degree=Pos	_	_	_	@ns1982m-words#@ns1982m#1.741#1.991
4	эээ	эээ	INTJ	_	_	_	_	_	@ns1982m-words#@ns1982m#1.991#2.241
5	ваша	ваш	DET	_	Case=Nom|Gender=Fem|Number=Sing	_	_	_	@ns1982m-words#@ns1982m#2.241#2.491
6	музыка	музыка	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	_	_	_	@ns1982m-words#@ns1982m#2.491#2.741
7	и	и	CCONJ	_	_	_	_	_	@ns1982m-words#@ns1982m#2.741#2.991
8	то	то	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	@ns1982m-words#@ns1982m#2.991#3.241
9	что	что	SCONJ	_	Case=Acc	_	_	_	@ns1982m-words#@ns1982m#3.241#3.491
10	вы	вы	PRON	_	Case=Nom|Number=Plur|Person=2	_	_	_	@ns1982m-words#@ns1982m#3.491#3.741
11	делаете	делать	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@ns1982m-words#@ns1982m#3.741#3.991
12	не	не	PART	_	_	_	_	_	@ns1982m-words#@ns1982m#3.991#4.241
13	ассоциируется	ассоциироваться	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid	_	_	_	@ns1982m-words#@ns1982m#4.241#4.491
14	с	с	ADP	_	_	_	_	_	@ns1982m-words#@ns1982m#4.491#4.741
15	первым	первый	ADJ	_	Case=Ins|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	@ns1982m-words#@ns1982m#4.741#4.991
16	каналом	канал	NOUN	_	Animacy=Inan|Case=Ins|Gender=Masc|Number=Sing	_	_	_	@ns1982m-words#@ns1982m#4.991#5.241
17	даже	даже	PART	_	_	_	_	_	@ns1982m-words#@ns1982m#5.586#5.861
18	с	с	ADP	_	_	_	_	_	@ns1982m-words#@ns1982m#5.861#6.136
19	эфиром	эфир	NOUN	_	Animacy=Inan|Case=Ins|Gender=Masc|Number=Sing	_	_	_	@ns1982m-words#@ns1982m#6.136#6.411
20	вечернего	вечерний	ADJ	_	Case=Gen|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	@ns1982m-words#@ns1982m#6.411#6.686
21	урганта	Ургант	PROPN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	_	_	_	@ns1982m-words#@ns1982m#6.686#6.965
22	не	не	PART	_	_	_	_	_	@ns1982m-words#@ns1982m#8.896#9.108
23	знаю	знать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@ns1982m-words#@ns1982m#9.108#9.32
24	ну	ну	PART	_	_	_	_	_	@ns1982m-words#@ns1982m#9.32#9.532
25	потому	потому	SCONJ	_	_	_	_	_	@ns1982m-words#@ns1982m#9.532#9.744
26	что	что	SCONJ	_	_	_	_	_	@ns1982m-words#@ns1982m#9.744#9.956
27	она	она	PRON	_	Case=Nom|Gender=Fem|Number=Sing|Person=3	_	_	_	@ns1982m-words#@ns1982m#9.956#10.168
28	/	/	PUNCT	_	_	_	_	_	@ns1982m-words#@ns1982m#10.168#10.38
29	ну	ну	PART	_	_	_	_	_	@ns1982m-words#@ns1982m#10.38#10.592
30	она	она	PRON	_	Case=Nom|Gender=Fem|Number=Sing|Person=3	_	_	_	@ns1982m-words#@ns1982m#10.592#10.804
